
Amount towards interest, Amount towards principle, Remaining Amount
44.87471, 158.36716, 10611.5625
44.214844, 159.02702, 10452.535
43.55223, 159.68964, 10292.846
42.886856, 160.35501, 10132.49
42.218708, 161.02316, 9971.467
41.54778, 161.69409, 9809.772
40.87405, 162.36781, 9647.404
40.197517, 163.04434, 9484.36
39.51817, 163.7237, 9320.637
38.835987, 164.40588, 9156.23
38.15096, 165.09091, 8991.14
37.46308, 165.77878, 8825.361
36.77234, 166.46953, 8658.892
36.078716, 167.16315, 8491.729
35.382202, 167.85966, 8323.869
34.68279, 168.55908, 8155.31
33.980457, 169.26141, 7986.049
33.275204, 169.96666, 7816.082
32.56701, 170.67485, 7645.407
31.855864, 171.386, 7474.021
31.141754, 172.10011, 7301.921
30.424671, 172.8172, 7129.1035
29.704597, 173.53726, 6955.5664
28.981527, 174.26035, 6781.306
28.255442, 174.98642, 6606.32
27.526333, 175.71553, 6430.6045
26.794186, 176.44768, 6254.1567
26.058987, 177.18288, 6076.9736
25.320723, 177.92114, 5899.0527
24.579386, 178.66248, 5720.39
23.834959, 179.4069, 5540.9834
23.087431, 180.15443, 5360.829
22.336788, 180.90508, 5179.924
21.583015, 181.65884, 4998.265
20.826105, 182.41576, 4815.8496
20.06604, 183.17583, 4632.674
19.302807, 183.93906, 4448.735
18.536396, 184.70547, 4264.0293
17.766788, 185.47508, 4078.5542
16.993977, 186.2479, 3892.3064
16.217943, 187.02393, 3705.2825
15.438677, 187.80319, 3517.4792
14.656163, 188.58571, 3328.8936
13.87039, 189.37148, 3139.522
13.081342, 190.16052, 2949.3613
12.289005, 190.95287, 2758.4084
11.493368, 191.7485, 2566.66
10.694416, 192.54745, 2374.1125
9.892136, 193.34973, 2180.7627
9.086512, 194.15535, 1986.6073
8.277531, 194.96434, 1791.643
7.465179, 195.77669, 1595.8662
6.6494427, 196.59242, 1399.2738
5.8303075, 197.41156, 1201.8623
5.0077596, 198.2341, 1003.6282
4.181784, 199.06007, 804.5681
3.3523672, 199.8895, 604.6786
2.519494, 200.72237, 403.95624
1.683151, 201.55872, 202.39752
0.843323, 202.39854, -0.0010223389
